,asin,category,price_weighted_normalized,leak_weighted_normalized,absorb_weighted_normalized,comfort_weighted_normalized,material_weighted_normalized,package_weighted_normalized,size_weighted_normalized
0,B00028O5RY,Tampons,0.16963913243511,0.1103714975375798,0.3003282036291663,0.1735994324270303,0.3924961829179694,0.128133015263143,0.0543430064468383
1,B000E3DXCA,Tampons,0.1673177846562936,0.0343966560371588,0.0108722730152929,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0111665364290844
2,B000FAG6X0,Coupes menstruelles,0.0,0.1255305114343048,0.0269236580331692,0.0917672343140084,0.3543356740174836,0.1467348786278311,0.0062676660924888
3,B000W6KKLQ,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.0956826510612413,0.3543356740174836,0.0796936158292756,0.0
4,B000W6KKMK,Protège-slips,0.0494167163570323,0.070897305368159,0.0648494167178339,0.0983780545808149,0.3543356740174836,0.0796936158292756,0.0
5,B000X29GY6,"Vitamines, minéraux et compléments",0.2220814409556406,0.7879192816946555,0.137709947436997,0.5703101627265265,0.4042931377380799,0.238228552180327,0.1244995936821119
6,B000ZNAFC0,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.2668149390000957,0.1399512984644634
7,B0012ZNZF4,Tampons,0.0,0.070897305368159,0.0269236580331692,0.1009197188031252,0.3543356740174836,0.0796936158292756,0.0
8,B0013CA9KK,Tampons,0.308861257577766,0.0933568354532526,0.2047045546427048,0.1740640885241858,0.3977598481733202,0.0796936158292756,0.0412258683840423
9,B0013CFQVC,Protège-slips,0.0340653097557055,0.1006229182980487,0.0269236580331692,0.072675770397018,0.3543356740174836,0.1283293027255828,0.0
10,B001DX5ZPS,Tampons,0.1271207635466573,0.0616534376338013,0.0269236580331692,0.0969919640531999,0.3543356740174836,0.1250667953057899,0.0254515437187874
11,B001E12YNA,Protège-slips,0.0841002916883421,0.1442837720096305,0.3657812332795143,0.1509358756438855,0.4489279382974855,0.3198367693056498,0.0449018123333931
12,B001INZGXY,Protège-slips,0.0477329811584859,0.1958536435387717,0.1917746125637496,0.1822813387999011,0.5153994709903212,0.2841414552500771,0.0127425084923268
13,B001NZHAZY,Incontinence,0.0406238665945675,0.070897305368159,0.1204562361696156,0.059157449467552,0.4457195074821549,0.0796936158292756,0.0108447021851347
14,B002LM5UXW,Protège-slips,0.0918566282444227,0.1243337699283393,0.3794088668049546,0.241417259962711,0.5609681667314361,0.4731299511525999,0.0980859637988881
15,B002LME6NM,Protège-slips,0.1727483997802819,0.1462679992346142,0.2092196518493962,0.2391082367405882,0.4514855290175047,0.5729659297347549,0.0230579349729634
16,B002WN6DBI,Tampons,0.0608835232018276,0.0886064260492292,0.0269236580331692,0.1376798462562205,0.4228147506221992,0.0796936158292756,0.0162530978081209
17,B003ART1KU,Protège-slips,0.0453774371089158,0.0972950717160613,0.1836394893096384,0.0951721965632975,0.5074512377278554,0.3388385159300546,0.0
18,B004DGFFA2,Protège-slips,0.0,0.070897305368159,0.0487016022698109,0.0816789277637623,0.3543356740174836,0.0796936158292756,0.007575178322562
19,B004JBRQ80,Tampons,0.0,0.070897305368159,0.0908587984279267,0.059157449467552,0.4168020182451771,0.2382780942024232,0.0593040474718399
20,B004JBVCHG,Tampons,0.1443796455221171,0.1128928475440849,0.2900897786690111,0.2167185752603375,0.4355315730548602,0.0796936158292756,0.0385427185676133
21,B004NAGK52,Tampons,0.2047617595830351,0.11060318440436,0.2102631552045509,0.120099986024012,0.3543356740174836,0.3233121459124943,0.0182206544061394
22,B004QJL83O,Tampons,0.3176420597624111,0.163289487585817,0.253290969876958,0.1491943172069159,0.3543356740174836,0.2092660658796652,0.096909493383711
23,B0052ED6T6,Protège-slips,0.0,0.070897305368159,0.0736899471013924,0.1800648630415319,0.3543356740174836,0.0796936158292756,0.0
24,B0052ED72C,Protège-slips,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.0796936158292756,0.0
25,B0052EFBO4,Tampons,0.0696427988395163,0.070897305368159,0.1070966089379577,0.0867941776197491,0.3543356740174836,0.0796936158292756,0.0
26,B0054SD2BW,Tampons,0.0,0.1162208640985614,0.0269236580331692,0.0849222004765631,0.3543356740174836,0.0796936158292756,0.0138657031843252
27,B0069S90XK,Protège-slips,0.0325941610351722,0.0898585579670485,0.0269236580331692,0.0785592250183976,0.3543356740174836,0.0796936158292756,0.0174022809265544
28,B006DURH0W,Serviettes hygièniques,0.0,0.070897305368159,0.0269236580331692,0.059157449467552,0.3543356740174836,0.5103251403557634,0.0
29,B007Q3KYVO,Tampons,0.2747656626748653,0.170798272481897,0.1587198520344829,0.3453788985624643,0.3543356740174836,0.0796936158292756,0.0
